조사회차,단과대학명,학과명,졸업자_남,졸업자_여,건보가입취업자_남,건보가입취업자_여,교내취업자_남,교내취업자_여,해외취업자_남,해외취업자_여,농림어업종사자_남,농림어업종사자_여,개인창작활동종사자_남,개인창작활동종사자_여,1인창사업자_남,1인창사업자_여,프리랜서_남,프리랜서_여,진학자_남,진학자_여,입대자,취업불가능자_남,취업불가능자_여,외국인유학생_남,외국인유학생_여,제외인정자_남,제외인정자_여,기타_남,기타_여,미상_남,미상_여,입학당시기취업자_남,입학당시기취업자_여,국내진학자_전문대학_남,국내진학자_전문대학_여,국내진학자_대학_남,국내진학자_대학_여,국내진학자_대학원_남,국내진학자_대학원_여,국외진학자_전문대학_남,국외진학자_전문대학_여,국외진학자_대학_남,국외진학자_대학_여,국외진학자_대학원_남,국외진학자_대학원_여
2024-12-31,단과대구분없음,문화예술콘텐츠학과,20,36,3,6,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,16,21,0,0,1,3,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,국제협력학과,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,공과대학,원자력및양자공학과,47,8,18,1,1,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,0,5,4,0,0,2,2,0,0,6,0,0,0,0,0,20,0,0,0,0,0,0,0
2024-12-31,공과대학,전산학부,218,62,84,21,2,0,0,0,0,0,0,0,0,0,2,1,72,20,1,0,0,30,9,0,0,27,11,0,0,5,1,0,0,0,0,72,20,0,0,0,0,0,0
2024-12-31,경영대학,디지털금융MBA,70,46,69,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,69,43,0,0,0,0,0,0,0,0,0,0,1,0
2024-12-31,공과대학,김재철AI대학원,66,25,40,13,0,1,0,0,0,0,0,0,0,0,0,0,22,7,0,0,0,1,1,0,0,3,3,0,0,6,3,0,0,0,0,22,7,0,0,0,0,0,0
2024-12-31,공과대학,로봇공학학제전공,19,2,8,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,0,0,0,0,0
2024-12-31,단과대구분없음,융합기술원 에너지융합대학원,9,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2024-12-31,단과대구분없음,AI대학원,13,6,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,뉴바이올로지학과,5,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,음악원,음악학과,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2024-12-31,음악원,기악과,35,47,7,3,0,0,0,0,0,0,0,3,2,4,10,6,2,3,4,0,0,0,1,0,0,10,27,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2024-12-31,미술원,건축과,6,7,6,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,전통예술원,연희과,6,5,1,1,0,0,0,0,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,문화재수리기술학과,19,11,13,9,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,9,2,0,0,0,0,2,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,전통문화활용교육학과,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,산림조경전공,1,9,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
